laptop_ID,Inches,Price_euros,TypeName_2 in 1 Convertible,TypeName_Gaming,TypeName_Netbook,TypeName_Notebook,TypeName_Ultrabook,TypeName_Workstation,Ram_12GB,Ram_16GB,Ram_24GB,Ram_2GB,Ram_32GB,Ram_4GB,Ram_64GB,Ram_6GB,Ram_8GB,OpSys_Android,OpSys_Chrome OS,OpSys_Linux,OpSys_Mac OS X,OpSys_No OS,OpSys_Windows 10,OpSys_Windows 10 S,OpSys_Windows 7,OpSys_macOS,Company_encoded,Product_encoded,ScreenResolution_encoded,Cpu_encoded,Memory_encoded,Gpu_encoded,Weight_encoded
119,14.0,1084.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,369,8,106,29,61,58
120,15.6,1130.33,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,257,15,106,18,72,100
121,17.3,564.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2,572,8,56,10,66,148
122,15.6,1118.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,541,8,106,16,72,70
123,15.6,479.0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,422,13,59,10,53,105
124,15.6,2241.5,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11,178,8,102,20,80,78
125,15.6,629.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,10,210,8,74,16,72,113
126,17.3,1271.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,7,371,8,106,29,70,129
127,15.6,451.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,58,0,14,16,17,105
128,15.6,259.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,7,50,0,36,26,41,74
129,14.0,812.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,369,8,83,10,61,58
130,14.0,277.99,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2,103,0,16,37,12,60
131,17.3,1396.0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4,252,8,106,20,7,144
132,17.3,928.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,364,8,83,16,61,129
133,15.6,638.99,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,245,0,74,10,30,118
134,15.6,449.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,4,239,8,56,10,24,113
135,14.0,884.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,0,430,15,106,16,61,62
136,15.6,572.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,65,8,60,16,97,113
137,15.6,598.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,7,0,97,10,53,91
138,14.0,988.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,7,369,8,106,16,61,58
139,15.6,252.36,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10,504,0,37,10,43,87
140,17.3,938.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,140,8,77,5,75,166
141,15.6,499.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,10,210,8,74,10,66,113
142,13.3,699.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,7,123,15,74,16,53,34
143,17.3,655.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,0,59,15,60,10,97,166
144,14.0,1116.02,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,10,455,15,83,16,35,66
